"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"219514_at",1.17145403703513,8.19347214701274,6.9085009508187,4.39726249052605e-10,4.30835479718513e-09,12.5783101634016
"219557_s_at",-1.3041331436042,9.34389711423367,-6.90788803610098,4.41019316059773e-10,4.31869964281377e-09,12.5754401651867
"217445_s_at",1.14205390808673,7.43654274087312,6.9060959797607,4.44821658190876e-10,4.35359233311439e-09,12.5670493020783
"241782_at",-1.7881456512401,8.67071633716051,-6.90534585958397,4.46422866709085e-10,4.36848092090723e-09,12.5635372763314
"228978_at",1.96949594800853,5.51710456866407,6.90523642527862,4.46656942045625e-10,4.36955635988386e-09,12.5630249215272
"233465_at",2.28302601871449,5.16227894008027,6.90521967231544,4.46692786648447e-10,4.36955635988386e-09,12.5629464869492
"211395_x_at",1.19570773938905,8.51809931096297,6.90378546982909,4.49771986546518e-10,4.39810161168576e-09,12.5562320387056
"41037_at",1.92349310217653,6.72027218807641,6.90356542435936,4.50246275269541e-10,4.40195127663721e-09,12.5552019041313
"244287_at",1.12386763667467,8.2145586593395,6.90246377409856,4.52628242494645e-10,4.42444714647576e-09,12.5500447439186
"230359_at",-1.56510292874807,8.74132848071554,-6.90235504467161,4.52864010665602e-10,4.425167689118e-09,12.5495357641013
"234963_s_at",-1.61988093203557,8.27819080491223,-6.901317377856,4.55120207684591e-10,4.44482830870504e-09,12.5446784221791
"212265_at",1.06698553579796,12.6307017019506,6.90124502867293,4.55277930813131e-10,4.44557368773423e-09,12.544339763613
"210039_s_at",-1.03501677035148,8.37056896840211,-6.90094705519793,4.55928091551753e-10,4.45033080677674e-09,12.5429449957567
"237396_at",1.5847649155875,5.94501221679635,6.90088748994802,4.56058169671175e-10,4.45080500719297e-09,12.5426661825605
"239637_at",-1.64485525488145,6.52583713125264,-6.90019112022444,4.57581625198271e-10,4.4648749860556e-09,12.5394066760899
"221805_at",-4.34021928602973,9.87513006137626,-6.8998235182972,4.58387862966297e-10,4.47194290106795e-09,12.5376860839481
"230392_at",2.40055078069601,6.46671962536449,6.89948630776501,4.59128682164434e-10,4.47757048554397e-09,12.5361077697619
"1566544_at",1.13170022592213,5.92843072945155,6.89724406856845,4.64084906634536e-10,4.52267469772161e-09,12.5256136597144
"237003_at",1.24635561209724,8.3604579363706,6.89640445158586,4.65954389662445e-10,4.53846389916803e-09,12.521684400945
"201465_s_at",1.39729593630095,9.46315530214949,6.89592798369302,4.67018603007016e-10,4.54800066504408e-09,12.5194546907507
"210664_s_at",1.61954785612267,7.5943220974322,6.89589155694837,4.67100062809812e-10,4.54800066504408e-09,12.5192842280228
"204232_at",1.21717713107507,10.6228626788633,6.89533873048129,4.68338056892703e-10,4.55842921067211e-09,12.5166972583149
"229278_at",-1.98782240276748,7.2403206131385,-6.89524221640596,4.68554522423769e-10,4.55972347347279e-09,12.516245625027
"223901_at",-1.91883355490016,7.54168769109767,-6.89354765479462,4.72371331229047e-10,4.59522898332952e-09,12.5083163640047
"208499_s_at",1.50160529890695,7.1577415566633,6.89305756501294,4.73480931278955e-10,4.60520286730856e-09,12.5060232446074
"221273_s_at",-1.35709098476957,8.64841653366894,-6.89254738619158,4.7463875613216e-10,4.61564216322038e-09,12.5036361902901
"202202_s_at",1.44082687770257,9.40621996482789,6.89209777568348,4.756614479755e-10,4.6247638700883e-09,12.5015325783293
"242024_at",1.81129927660697,8.56583793527609,6.89175212186297,4.76449161355932e-10,4.62994983080632e-09,12.4999153859909
"212097_at",2.03240459977095,10.9203711755822,6.89112123787832,4.77890219784478e-10,4.64312730352067e-09,12.4969637762969
"235961_at",1.46653920127583,6.58226115490215,6.88959370166446,4.81397301380028e-10,4.67553811493286e-09,12.4898175483678
"202871_at",1.11292101639356,9.3315703420748,6.88955000596052,4.8149799668532e-10,4.67568458267699e-09,12.4896131362885
"233944_at",-2.30174588370795,6.35655992616875,-6.88766137840884,4.85870265284905e-10,4.71562694117728e-09,12.4807784209314
